,Entropy0,Entropy1,Entropy2,Names,Genotypes,Label,Sex,Sex2
859_female.ply,8.832010978,6.418430722,1.541215625,Brain,859_female,0,f,0
26_male.ply,8.791760236,6.359715918,1.399672146,Brain,26_male,3,m,1
517_female.ply,8.791552265,6.396198404,0.554183154,Brain,517_female,5,f,0
850_male.ply,8.813684154,6.466477442,1.619136549,Brain,850_male,0,m,1
439_female.ply,8.823547613,6.546149154,2.07267165,Brain,439_female,2,f,0
705_female.ply,8.792824808,6.601015622,1.61778203,Brain,705_female,0,f,0
195_female.ply,8.822617967,6.286997907,2.203994341,Brain,195_female,4,f,0
176_female.ply,8.819580874,6.400698171,1.632772469,Brain,176_female,0,f,0
439_male.ply,8.80366107,6.647512001,1.403156248,Brain,439_male,3,m,1
59_female.ply,8.824503321,6.417075311,1.741845395,Brain,59_female,0,f,0
787_male.ply,8.81643675,6.512640323,2.604819105,Brain,787_male,4,m,1
91_male.ply,8.816059527,6.353596075,1.060415008,Brain,91_male,1,m,1
900_male.ply,8.820373223,6.376550476,1.497961275,Brain,900_male,3,m,1
359_female.ply,8.832349446,6.430793769,1.971383726,Brain,359_female,2,f,0
853_female.ply,8.812611303,6.418935987,1.956402717,Brain,853_female,2,f,0
359_male.ply,8.826072936,6.573181836,1.227288134,Brain,359_male,3,m,1
796_male.ply,8.810129908,6.581657541,1.622352386,Brain,796_male,0,m,1
705_male.ply,8.812094101,6.386021154,1.801434338,Brain,705_male,2,m,1
176_male.ply,8.815718933,6.419228648,0.871916784,Brain,176_male,1,m,1
595_male.ply,8.789124106,6.261558215,1.031033269,Brain,595_male,1,m,1
321_female.ply,8.787705891,6.29798605,1.9311783,Brain,321_female,2,f,0
26_female.ply,8.824782015,6.413270218,1.410917452,Brain,26_female,3,f,0
365_female.ply,8.818136397,6.337758812,1.263064519,Brain,365_female,3,f,0
900_female.ply,8.816033969,6.403161547,1.86865781,Brain,900_female,2,f,0
853_male.ply,8.799502208,6.384574251,1.386509625,Brain,853_male,3,m,1
362_male.ply,8.819045723,6.346654002,1.066482458,Brain,362_male,1,m,1
59_male.ply,8.813457423,6.414355584,2.359968971,Brain,59_male,4,m,1
321_male.ply,8.826089578,6.451850566,2.23856194,Brain,321_male,4,m,1
859_male.ply,8.803840704,6.331727781,2.103264655,Brain,859_male,2,m,1
365_male.ply,8.799112782,6.513089075,1.560074721,Brain,365_male,0,m,1
739_male.ply,8.82063295,6.385991466,1.646078277,Brain,739_male,0,m,1
395_female.ply,8.838996825,6.632718505,1.446319216,Brain,395_female,3,f,0
517_male.ply,8.810571107,6.595328669,1.970012948,Brain,517_male,2,m,1
405_female.ply,8.813589001,6.590411549,2.158248729,Brain,405_female,2,f,0
439_male_2.ply,8.810430296,6.524254632,0.190132117,Brain,439_male_2,5,m,1
796_female.ply,8.804130424,6.36937363,1.287884037,Brain,796_female,3,f,0
362_female.ply,8.7843642,6.451468227,1.66702784,Brain,362_female,0,f,0
595_female.ply,8.824356175,6.477294681,1.669078426,Brain,595_female,0,f,0
304_male.ply,8.80493787,6.37517181,2.027013948,Brain,304_male,2,m,1
787_female.ply,8.816219597,6.428708726,1.540683589,Brain,787_female,0,f,0